,height,width
96,192.0,1024.0
97,192.0,1024.0
98,192.0,1024.0
99,192.0,1024.0
100,256.0,2196.0
101,256.0,1054.0
102,128.0,878.0
103,192.0,1024.0
104,192.0,1024.0
105,192.0,1024.0
106,192.0,1024.0
107,192.0,1024.0
108,192.0,1024.0
109,192.0,1024.0
110,192.0,1024.0
111,256.0,2196.0
112,256.0,1054.0
113,128.0,878.0
114,256.0,2196.0
115,256.0,2196.0
116,128.0,878.0
117,192.0,1024.0
118,192.0,1024.0
119,192.0,1024.0
120,192.0,1024.0
121,192.0,1024.0
122,192.0,1024.0
123,192.0,1024.0
124,192.0,1024.0
125,192.0,1024.0
126,192.0,1024.0
127,192.0,1024.0
128,192.0,1024.0
129,192.0,1024.0
130,128.0,878.0
131,192.0,1024.0
132,128.0,878.0
133,192.0,1024.0
134,192.0,1024.0
135,192.0,1024.0
136,192.0,1024.0
137,192.0,1024.0
138,256.0,1054.0
139,128.0,878.0
140,192.0,1024.0
141,192.0,1024.0
142,192.0,1024.0
143,192.0,1024.0
144,192.0,1024.0
145,192.0,1024.0
146,192.0,1024.0
147,128.0,878.0
148,192.0,1024.0
149,192.0,1024.0
150,192.0,1024.0
151,192.0,1024.0
152,192.0,1024.0
153,192.0,1024.0
154,192.0,1024.0
155,192.0,1024.0
156,192.0,1024.0
157,192.0,1024.0
158,192.0,1024.0
159,256.0,2196.0
160,192.0,1024.0
161,128.0,878.0
162,192.0,1024.0
163,256.0,1054.0
164,256.0,1054.0
165,192.0,1024.0
166,192.0,1024.0
167,192.0,1024.0
168,192.0,1024.0
169,256.0,790.0
170,192.0,1024.0
171,192.0,1024.0
172,192.0,1024.0
173,256.0,790.0
174,192.0,1024.0
175,192.0,1024.0
176,128.0,878.0
177,192.0,1024.0
178,192.0,1024.0
179,192.0,1024.0
180,192.0,1024.0
181,192.0,1024.0
182,192.0,1024.0
183,192.0,1024.0
184,192.0,1024.0
185,192.0,1024.0
186,256.0,790.0
187,192.0,1024.0
188,192.0,1024.0
189,256.0,2196.0
190,192.0,1024.0
191,192.0,1024.0
192,192.0,1024.0
193,192.0,1024.0
194,256.0,1054.0
195,192.0,1024.0
196,192.0,1024.0
197,192.0,1024.0
198,192.0,1024.0
199,192.0,1024.0
200,192.0,1024.0
201,192.0,1024.0
202,192.0,1024.0
203,192.0,1024.0
204,192.0,1024.0
205,192.0,1024.0
206,192.0,1024.0
207,256.0,2196.0
208,256.0,1054.0
209,192.0,1024.0
210,192.0,1024.0
211,192.0,1024.0
212,192.0,1024.0
213,192.0,1024.0
214,192.0,1024.0
215,256.0,790.0
